date,deceased.age.female.0-3,deceased.age.female.4-18,deceased.age.female.19-31,deceased.age.female.32-41,deceased.age.female.42-51,deceased.age.female.52-61,deceased.age.female.62-71,deceased.age.female.72+,deceased.age.male.0-3,deceased.age.male.4-18,deceased.age.male.19-31,deceased.age.male.32-41,deceased.age.male.42-51,deceased.age.male.52-61,deceased.age.male.62-71,deceased.age.male.72+,total,deceased
2014-11-21,,,,,,2,2,20,,,,,2,1,6,21,54,55
2018-07-24,,,,1,,,2,20,1,1,,1,1,4,10,29,70,71
2019-06-12,,,,,1,,2,23,,,,,,2,2,23,53,54
2020-09-03,,,,,,1,4,25,,,,1,,2,6,17,56,55
2020-10-30,,,,,1,5,5,41,,,,,,3,10,28,93,92
2020-11-07,,,,1,1,1,7,32,,,,1,1,2,9,26,81,80
2020-11-08,,,,,1,3,4,46,,,,,,2,12,23,91,90
2020-11-11,,,,,1,2,1,45,,,,,,4,7,40,100,101
2020-11-16,,,,,1,1,4,54,,,,,,4,8,31,103,102
2020-11-18,,,,,,1,3,41,,,,,2,5,5,30,87,86
2020-11-19,1,,,1,1,3,5,36,,,,,2,6,9,36,100,97
2020-11-20,,,,,1,2,2,48,,,,,3,1,10,35,102,101
2020-11-21,1,,,,2,,5,32,1,,,,,4,7,29,81,75
2020-11-22,,,,,2,2,6,48,,,,,,4,11,30,103,102
