date,deceased.todate.daily
04.03.2020,0
05.03.2020,0
06.03.2020,0
07.03.2020,0
08.03.2020,0
09.03.2020,0
10.03.2020,0
11.03.2020,0
12.03.2020,0
13.03.2020,0
14.03.2020,1
15.03.2020,1
16.03.2020,1
17.03.2020,1
18.03.2020,1
19.03.2020,1
20.03.2020,1
21.03.2020,1
22.03.2020,2
23.03.2020,3
24.03.2020,6
25.03.2020,6
26.03.2020,8
27.03.2020,10
28.03.2020,12
29.03.2020,13
30.03.2020,18
31.03.2020,19
01.04.2020,20
02.04.2020,23
03.04.2020,26
04.04.2020,30
05.04.2020,33
06.04.2020,40
07.04.2020,42
08.04.2020,46
09.04.2020,48
10.04.2020,54
11.04.2020,57
12.04.2020,61
13.04.2020,64
14.04.2020,65
15.04.2020,65
16.04.2020,71
17.04.2020,75
18.04.2020,78
19.04.2020,83
20.04.2020,84
21.04.2020,87
22.04.2020,87
23.04.2020,88
24.04.2020,89
25.04.2020,90
26.04.2020,90
27.04.2020,93
28.04.2020,96
29.04.2020,97
30.04.2020,100
01.05.2020,102
02.05.2020,104
03.05.2020,105
04.05.2020,105
05.05.2020,107
06.05.2020,107
07.05.2020,108
08.05.2020,109
09.05.2020,110
10.05.2020,110
11.05.2020,110
12.05.2020,111
13.05.2020,111
14.05.2020,111
15.05.2020,111
16.05.2020,111
17.05.2020,111
18.05.2020,111
19.05.2020,112
20.05.2020,113
21.05.2020,113
22.05.2020,113
23.05.2020,113
24.05.2020,113
25.05.2020,113
26.05.2020,113
27.05.2020,113
28.05.2020,113
29.05.2020,113
30.05.2020,113
31.05.2020,113
01.06.2020,113
02.06.2020,113
03.06.2020,113
04.06.2020,113
05.06.2020,113
06.06.2020,113
07.06.2020,113
08.06.2020,113
09.06.2020,113
10.06.2020,113
11.06.2020,113
12.06.2020,113
13.06.2020,113
14.06.2020,113
15.06.2020,113
16.06.2020,114
17.06.2020,114
18.06.2020,114
19.06.2020,114
20.06.2020,114
21.06.2020,114
22.06.2020,114
23.06.2020,114
24.06.2020,114
25.06.2020,114
26.06.2020,114
27.06.2020,114
28.06.2020,114
29.06.2020,114
30.06.2020,114
01.07.2020,114
02.07.2020,114
03.07.2020,114
04.07.2020,114
05.07.2020,114
06.07.2020,114
07.07.2020,114
08.07.2020,114
09.07.2020,114
10.07.2020,114
11.07.2020,114
12.07.2020,114
13.07.2020,114
14.07.2020,114
15.07.2020,114
16.07.2020,114
17.07.2020,114
18.07.2020,114
19.07.2020,115
20.07.2020,116
21.07.2020,117
22.07.2020,117
23.07.2020,117
24.07.2020,118
25.07.2020,118
26.07.2020,119
27.07.2020,119
28.07.2020,120
29.07.2020,120
30.07.2020,121
31.07.2020,121
01.08.2020,122
02.08.2020,124
03.08.2020,125
04.08.2020,126
05.08.2020,126
06.08.2020,126
07.08.2020,127
08.08.2020,129
09.08.2020,130
10.08.2020,131
11.08.2020,131
12.08.2020,131
13.08.2020,131
14.08.2020,131
15.08.2020,131
16.08.2020,131
17.08.2020,131
18.08.2020,131
19.08.2020,131
20.08.2020,132
21.08.2020,132
22.08.2020,132
23.08.2020,133
24.08.2020,133
25.08.2020,133
26.08.2020,133
27.08.2020,133
28.08.2020,133
29.08.2020,133
30.08.2020,133
31.08.2020,133
01.09.2020,133
02.09.2020,133
03.09.2020,133
04.09.2020,134
05.09.2020,134
06.09.2020,134
07.09.2020,134
08.09.2020,135
09.09.2020,135
10.09.2020,135
11.09.2020,136
12.09.2020,137
13.09.2020,137
14.09.2020,137
15.09.2020,137
16.09.2020,138
17.09.2020,142
18.09.2020,144
19.09.2020,145
20.09.2020,145
21.09.2020,146
22.09.2020,147
23.09.2020,149
24.09.2020,150
25.09.2020,151
26.09.2020,152
27.09.2020,154
28.09.2020,154
29.09.2020,155
30.09.2020,157
01.10.2020,159
02.10.2020,159
03.10.2020,159
04.10.2020,161
05.10.2020,166
06.10.2020,166
07.10.2020,167
08.10.2020,169
09.10.2020,176
10.10.2020,176
11.10.2020,178
12.10.2020,181
13.10.2020,186
14.10.2020,189
15.10.2020,197
16.10.2020,202
17.10.2020,208
18.10.2020,212
19.10.2020,218
20.10.2020,229
21.10.2020,237
22.10.2020,246
23.10.2020,266
24.10.2020,271
25.10.2020,288
26.10.2020,303
27.10.2020,319
28.10.2020,339
29.10.2020,364
30.10.2020,391
31.10.2020,418
01.11.2020,441
02.11.2020,472
03.11.2020,503
04.11.2020,534
05.11.2020,562
06.11.2020,597
07.11.2020,618
08.11.2020,643
09.11.2020,671
10.11.2020,714
11.11.2020,763
12.11.2020,806
13.11.2020,847
14.11.2020,878
15.11.2020,912
16.11.2020,956
17.11.2020,1001
18.11.2020,1044
19.11.2020,1081
20.11.2020,1124
21.11.2020,1150
22.11.2020,1203
23.11.2020,1259
24.11.2020,1303
25.11.2020,1357
26.11.2020,1404
27.11.2020,1467
28.11.2020,1513
29.11.2020,1564
30.11.2020,1622
01.12.2020,1686
02.12.2020,1735
03.12.2020,1809
04.12.2020,1860
05.12.2020,1908
06.12.2020,1967
07.12.2020,2027
08.12.2020,2070
09.12.2020,2125
10.12.2020,2182
11.12.2020,2235
12.12.2020,2274
13.12.2020,2320
14.12.2020,2374
15.12.2020,2426
16.12.2020,2468
17.12.2020,2507
18.12.2020,2549
19.12.2020,2589
20.12.2020,2616
21.12.2020,2661
22.12.2020,2698
23.12.2020,2730
24.12.2020,2765
25.12.2020,2798
26.12.2020,2824
27.12.2020,2872
28.12.2020,2915
29.12.2020,2944
30.12.2020,2968
31.12.2020,3008
01.01.2021,3040
02.01.2021,3068
03.01.2021,3098
04.01.2021,3121
05.01.2021,3148
06.01.2021,3166
07.01.2021,3178
08.01.2021,3197
09.01.2021,3220
10.01.2021,3234
11.01.2021,3250
12.01.2021,3262
13.01.2021,3269
14.01.2021,3277
